Year,Id,Link_ID,Active,Link_Info,From_Core,To_Core,Euc_Dist,CW_Dist,LCP_Length,Shape_Length,cw_to_Euc_Dist_Ratio,cwd_to_Path_Length_Ratio,Current_Flow_Centrality,Effective_Resistance,cwd_to_Eff_Resist_Ratio
2017,0,262,1,"""Connects_cores""",101,103,544,12762.48,921,921.8376301,23.45999908,13.85999966,-1,763.8499756,16.70809937
2017,0,263,1,"""Connects_cores""",101,104,3478,49438.19,4339,4339.188339,14.21000004,11.39000034,-1,1677.910034,29.46409988
2017,0,264,1,"""Connects_cores""",101,105,1379,24358.89,1797,1797.350689,17.65999985,13.56000042,-1,1538.27002,15.83520031
2017,0,265,1,"""Connects_cores""",103,104,4845,68553.35,6005,6005.51303,14.14999962,11.42000008,-1,1557.660034,44.01050186
2017,0,266,1,"""Connects_cores""",103,105,2669,36914.59,3305,3305.512889,13.82999992,11.17000008,-1,1519.439941,24.2947998
2017,0,267,1,"""Connects_cores""",103,110,5726,92994.97,7393,7393.889548,16.23999977,12.57999992,-1,1620.469971,57.38759995
2017,0,268,1,"""Connects_cores""",103,112,7720,97174.76,8501,8501.026009,12.59000015,11.43000031,-1,1816.109985,53.50719833
2017,0,269,1,"""Connects_cores""",104,105,1872,33823.21,2541,2541.83765,18.06999969,13.31000042,-1,1783.800049,18.9612999
2017,0,270,1,"""Connects_cores""",107,108,544,15353.75,921,921.8377008,28.21999931,16.67000008,-1,2312.98999,6.638040066
2017,0,271,1,"""Connects_cores""",107,110,1368,22924.43,1620,1620.00002,16.76000023,14.14999962,-1,1270.930054,18.03759956
2017,0,272,1,"""Connects_cores""",107,111,2105,37501.34,2765,2765.513049,17.81999969,13.56000042,-1,1352.400024,27.72949982
2017,0,273,1,"""Connects_cores""",108,111,1683,45221.85,2225,2225.512938,26.87000084,20.31999969,-1,2695.47998,16.77689934
2017,0,274,1,"""Connects_cores""",110,111,544,10616.18,810,810.00001,19.52000046,13.10999966,-1,545.6240234,19.45700073
2017,0,275,1,"""Connects_cores""",110,112,5973,90202.34,7374,7374.701258,15.10000038,12.22999954,-1,1986.23999,45.4137001
2017,0,276,1,"""Connects_cores""",111,112,4778,88578.47,6024,6024.701308,18.54000092,14.69999981,-1,1623.180054,54.57080078
2017,0,277,1,"""Connects_cores""",111,113,541,29858.47,2001,2001.837639,55.18999863,14.92000008,-1,1513.599976,19.7269001
2017,0,278,1,"""Connects_cores""",111,114,1201,26627.06,1731,1731.837711,22.17000008,15.38000011,-1,925.7459717,28.76280022
2017,0,279,1,"""Connects_cores""",113,114,752,12796.07,1191,1191.8376,17.02000046,10.73999977,-1,976.9869995,13.09749985
2017,0,280,1,"""Connects_cores""",113,115,1339,19152.55,1731,1731.837669,14.30000019,11.06000042,-1,1573.27002,12.17370033
2017,0,281,1,"""Connects_cores""",114,115,544,19444.68,1191,1191.8376,35.74000168,16.32999992,-1,845.3569946,23.00180054
2017,0,282,1,"""Connects_cores""",114,116,1442,32084.91,1843,1843.675319,22.25,17.40999985,-1,997.25,32.17340088
2017,0,283,1,"""Connects_cores""",114,120,7494,101131.61,8539,8539.402647,13.5,11.84000015,-1,1727.209961,58.55199814
2017,0,284,1,"""Connects_cores""",114,121,6117,87361.6,7486,7486.538978,14.27999973,11.67000008,-1,1448.349976,60.31809998
2017,0,285,1,"""Connects_cores""",115,116,763,19670.37,1191,1191.8377,25.78000069,16.52000046,-1,924.6530151,21.27319908
2017,0,286,1,"""Connects_cores""",116,121,3249,36347.35,3864,3864.701348,11.18999958,9.409999847,-1,971.5280151,37.41260147
2017,0,287,1,"""Connects_cores""",116,125,3549,48996.65,5056,5056.539089,13.81000042,9.68999958,-1,1497.810059,32.71220016
2017,0,288,1,"""Connects_cores""",116,128,5842,98345.43,6163,6163.675309,16.82999992,15.96000004,-1,2488.969971,39.51250076
2017,0,289,1,"""Connects_cores""",118,120,1792,21376.62,2383,2383.675429,11.93000031,8.970000267,-1,987.5739746,21.64559937
2017,0,290,1,"""Connects_cores""",118,121,3016,32857.57,3911,3911.025948,10.89000034,8.399999619,-1,886.3649902,37.06999969
2017,0,291,1,"""Connects_cores""",118,124,1367,21254.15,1955,1955.51301,15.55000019,10.86999989,-1,1138.939941,18.66130066
2017,0,292,1,"""Connects_cores""",120,121,1067,10101.73,1415,1415.512899,9.470000267,7.139999866,-1,439.4060059,22.98950005
2017,0,293,1,"""Connects_cores""",121,122,3278,44916.96,3594,3594.701249,13.69999981,12.5,-1,1757.920044,25.55120087
2017,0,294,1,"""Connects_cores""",121,124,2335,34191.66,2877,2877.35071,14.64000034,11.88000011,-1,984.8569946,34.7173996
2017,0,295,1,"""Connects_cores""",121,125,1579,17629.63,2067,2067.35073,11.17000008,8.529999733,-1,802.4829712,21.96879959
2017,0,296,1,"""Connects_cores""",121,126,871,20281.96,1415,1415.51297,23.29000092,14.32999992,-1,536.1060181,37.83200073
2017,0,297,1,"""Connects_cores""",122,124,544,8821.83,651,651.8375894,16.21999931,13.55000019,-1,1130.219971,7.805409908
2017,0,298,1,"""Connects_cores""",125,126,1821,23545,2495,2495.512979,12.93000031,9.43999958,-1,1083.560059,21.72929955
2017,0,299,1,"""Connects_cores""",125,128,2411,45247.87,3101,3101.02598,18.77000046,14.59000015,-1,1815.079956,24.92889977
2017,0,302,1,"""Connects_cores""",132,134,2185,765057.56,4181,4181.02586,350.1400146,182.9799957,-1,97565.20313,7.841499805
2017,0,310,1,"""Connects_cores""",135,136,5280,2200899.75,6676,6676.538939,416.8399963,329.6700134,-1,187771,11.72119999
2017,0,311,1,"""Connects_cores""",135,137,10156,2336960.5,16527,16527.56507,230.1100006,141.3999939,-1,359223,6.505599976
2017,0,312,1,"""Connects_cores""",135,140,6530,1722593.88,11490,11490.21434,263.7999878,149.9199982,-1,254300,6.773869991
2017,0,313,1,"""Connects_cores""",135,141,7963,1104531.5,10140,10140.21435,138.7100067,108.9300003,-1,156304,7.066539764
2017,0,314,1,"""Connects_cores""",135,146,13725,2873861,30644,30644.31804,209.3899994,93.77999878,-1,363244,7.911660194
2017,0,315,1,"""Connects_cores""",135,155,16620,2109697.25,26547,26547.9933,126.9400024,79.47000122,-1,225011,9.375989914
2017,0,316,1,"""Connects_cores""",135,157,18464,2053935.75,26258,26258.80522,111.2399979,78.22000122,-1,215288,9.540390015
2017,0,318,1,"""Connects_cores""",136,137,4081,1693327.75,6676,6676.538868,414.9299927,253.6399994,-1,243816,6.945099831
2017,0,319,1,"""Connects_cores""",136,140,1697,1205416.38,2383,2383.675259,710.3200073,505.8399963,-1,92143.20313,13.08199978
2017,0,320,1,"""Connects_cores""",137,140,3766,699498.25,5577,5577.350669,185.7400055,125.4300003,-1,117005,5.97837019
2017,0,321,1,"""Connects_cores""",137,143,3623,82779.65,5307,5307.35074,22.85000038,15.60000038,-1,13205.5,6.268589973
2017,0,322,1,"""Connects_cores""",138,139,661,264176.09,921,921.8375594,399.6600037,286.8399963,-1,54530.69922,4.844540119
2017,0,324,1,"""Connects_cores""",140,143,5884,720268.06,9106,9106.538868,122.4100037,79.09999847,-1,127196,5.662660122
2017,0,325,1,"""Connects_cores""",140,146,7102,1583214.5,22459,22459.61663,222.9299927,70.48999786,-1,120457,13.14340019
2017,0,326,1,"""Connects_cores""",141,157,12766,1003284.44,16928,16928.59105,78.58999634,59.27000046,-1,111022,9.036829948
2017,0,327,1,"""Connects_cores""",143,146,1875,976397.31,2877,2877.35064,520.75,339.3800049,-1,59671.80078,16.3628006
2017,0,328,1,"""Connects_cores""",144,145,969,522620.84,1685,1685.51311,539.3400269,310.1600037,-1,45898.30078,11.38650036
2017,0,329,1,"""Connects_cores""",144,147,3224,659914.31,4339,4339.188298,204.6900024,152.0899963,-1,59060.39844,11.1736002
2017,0,330,1,"""Connects_cores""",145,147,2331,180811.5,2923,2923.675269,77.56999969,61.86000061,-1,27658.69922,6.537230015
2017,0,331,1,"""Connects_cores""",146,158,16672,1783882.5,31454,31454.31815,107,56.70999908,-1,115476,15.44810009
2017,0,332,1,"""Connects_cores""",146,184,22146,1600211.25,30169,30169.83099,72.26000214,53.04000092,-1,167881,9.531849861
2017,0,333,1,"""Connects_cores""",147,148,543,201841.25,1033,1033.675379,371.7200012,195.3899994,-1,26367.09961,7.655059814
2017,0,334,1,"""Connects_cores""",147,149,1462,269069.38,2225,2225.51295,184.0399933,120.9300003,-1,41206.30078,6.529809952
2017,0,335,1,"""Connects_cores""",147,150,601,274061.16,1145,1145.512929,456.0100098,239.3500061,-1,65826.5,4.16339016
